=== register: 100301|44f0 ===
[2604] 0100|00|00|05|fa0001||100301|44f0||...D.||259,61508

=== register: 100301|54e0 ===
[1746] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1766] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1782] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1784] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1805] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1824] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1827] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1851] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1868] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1870] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1891] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1908] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1910] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1940] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1962] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1966] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1989] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2006] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2008] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2030] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2048] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2050] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2071] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2090] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2094] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2118] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2136] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2138] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2159] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2176] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2178] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2193] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2227] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2244] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2261] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2263] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2284] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2300] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2302] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2323] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2342] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2346] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2369] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2386] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2388] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2408] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2424] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2426] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2447] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2463] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2467] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2509] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2526] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2528] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2549] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2565] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2567] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2585] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2608] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[2631] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524

=== register: 100301|ecf1 ===
[8] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[20] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[39] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[60] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[79] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[102] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[121] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[142] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[160] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[181] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[204] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[217] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[254] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[276] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[295] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[316] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[336] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[359] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[378] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[398] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[416] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[436] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[458] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[481] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[502] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[538] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[557] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[572] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[592] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[615] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[634] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[655] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[674] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[694] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[717] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[741] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[761] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[800] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[819] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[858] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[881] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[900] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[921] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[939] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[958] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[980] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1003] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1021] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1042] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1076] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1096] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1115] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1138] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1156] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1177] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1196] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1241] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
[1301] 0100|00|00|05|fa0003||100301|ecf1||.....||259,61932
